date,contract,contract_m,open,high,low,close,fluctuation,fluctuation_percent,volume,settlement,open_interest,last_best_buy,last_bset_sell,h_high,h_low
2014-04-11,TX,201404,8850,8891,8840,8870,-37,-0.42%,95782,8869,50964,8870,8871,8939,8468
2014-04-14,TX,201404,8870,8885,8853,8858,-11,-0.12%,65746,8856,47194,8857,8858,8939,8468
2014-04-15,TX,201404,8861,8902,8859,8896,40,0.45%,72126,8896,39011,8896,8897,8939,8468
2014-04-16,TX,201404,8910,8956,8887,8955,59,0.66%,49182,0,26310,8954,8955,8956,8468
2014-04-17,TX,201405,8884,8910,8872,8897,24,0.27%,77255,8895,52581,8896,8897,8920,8509
2014-04-18,TX,201405,8961,8972,8916,8918,23,0.26%,63285,8917,55609,8916,8918,8972,8509
2014-04-21,TX,201405,8917,8926,8903,8923,6,0.07%,36842,8922,56331,8922,8923,8972,8509
2014-04-22,TX,201405,8925,8962,8917,8950,28,0.31%,60169,8950,56788,8950,8951,8972,8509
2014-04-23,TX,201405,8970,8980,8910,8922,-28,-0.31%,80288,8922,58676,8922,8923,8980,8509
2014-04-24,TX,201405,8928,8942,8915,8937,15,0.17%,54152,8935,60200,8936,8937,8980,8509
2014-04-25,TX,201405,8925,8928,8743,8750,-185,-2.07%,174633,8750,58958,8750,8751,8980,8509
2014-04-28,TX,201405,8698,8835,8690,8819,69,0.79%,129874,8818,60681,8819,8820,8980,8509
2014-04-29,TX,201405,8828,8855,8809,8840,22,0.25%,91179,8838,61095,8838,8840,8980,8509
2014-04-30,TX,201405,8850,8857,8750,8758,-80,-0.91%,122688,8755,60833,8755,8758,8980,8509
2014-05-02,TX,201405,8768,8843,8761,8841,86,0.98%,90635,8840,61896,8841,8842,8980,8509
2014-05-05,TX,201405,8864,8888,8802,8827,-13,-0.15%,94208,8828,59640,8827,8829,8980,8509
2014-05-06,TX,201405,8849,8889,8813,8885,57,0.65%,97864,8881,61444,8883,8885,8980,8509
2014-05-07,TX,201405,8845,8861,8809,8840,-41,-0.46%,104464,8839,60249,8839,8840,8980,8509
2014-05-08,TX,201405,8860,8887,8836,8881,42,0.48%,88751,8880,61193,8880,8882,8980,8509
2014-05-09,TX,201405,8888,8889,8833,8842,-38,-0.43%,77008,8842,60115,8840,8842,8980,8509
2014-05-12,TX,201405,8842,8850,8790,8821,-21,-0.24%,88270,8821,60296,8821,8822,8980,8509
2014-05-13,TX,201405,8855,8875,8821,8830,9,0.10%,83445,8829,60750,8830,8831,8980,8509
2014-05-14,TX,201405,8855,8885,8830,8882,53,0.60%,85759,8883,60883,8881,8883,8980,8509
2014-05-15,TX,201405,8868,8887,8857,8877,-6,-0.07%,59657,8877,59255,8877,8878,8980,8509
2014-05-16,TX,201405,8842,8883,8816,8876,-1,-0.01%,88877,8876,55318,8876,8878,8980,8509
2014-05-19,TX,201405,8876,8901,8869,8888,12,0.14%,70962,8887,46849,8888,8889,8980,8509
2014-05-20,TX,201405,8902,8926,8890,8897,10,0.11%,74046,8896,40178,8896,8897,8980,8509
2014-05-21,TX,201405,8892,8909,8850,8860,-36,-0.40%,54036,0,22263,8859,8860,8980,8509
2014-05-22,TX,201406,8873,8960,8866,8959,116,1.31%,100620,8957,59584,8959,8960,8960,7508
2014-05-23,TX,201406,8971,9014,8966,9013,56,0.63%,75182,9011,62628,9012,9014,9014,7508
2014-05-26,TX,201406,9020,9049,9009,9041,30,0.33%,51900,9040,63245,9039,9041,9049,7508
2014-05-27,TX,201406,9047,9058,9025,9056,16,0.18%,52031,9056,63706,9055,9056,9058,7508
2014-05-28,TX,201406,9062,9144,9055,9136,80,0.88%,94218,9135,65233,9135,9136,9144,7508
2014-05-29,TX,201406,9132,9149,9111,9116,-19,-0.21%,69424,9114,64439,9115,9116,9149,7508
