date,high,low,close,fluctuation,最近N1个交易日的最高点,最近N2个交易日的最低点,当天的仓位,资金指数
2017-10-11,10527,10506,10516,-7,10654.0,10260.0,0.0,-0.0
2017-10-12,10655,10626,10652,20,10655.0,10260.0,0.0,-0.0
2017-10-13,10704,10685,10685,-12,10704.0,10260.0,0.0,-0.0
2017-10-16,10732,10704,10725,15,10732.0,10260.0,1.0,-0.0
2017-10-17,10778,10750,10777,21,10778.0,10260.0,1.0,-0.0
2017-10-18,10735,10713,10733,11,10778.0,10260.0,1.0,-0.0
2017-10-19,10760,10724,10753,29,10778.0,10260.0,1.0,-0.0
2017-10-20,10760,10684,10726,-35,10778.0,10260.0,1.0,0.0
2017-10-23,10758,10732,10756,27,10778.0,10260.0,1.0,0.0
2017-10-24,10742,10712,10712,-24,10778.0,10260.0,1.0,-0.0
2017-10-25,10775,10739,10772,28,10778.0,10260.0,1.0,-0.0
2017-10-26,10744,10690,10712,-26,10778.0,10260.0,1.0,0.0
2017-10-27,10749,10725,10746,20,10778.0,10275.0,1.0,0.0
2017-10-30,10759,10709,10752,42,10778.0,10275.0,1.0,0.0
2017-10-31,10766,10739,10744,-1,10778.0,10318.0,1.0,0.0
2017-11-01,10795,10779,10793,11,10795.0,10386.0,1.0,0.0
2017-11-02,10832,10780,10792,-16,10832.0,10434.0,1.0,-0.0
2017-11-03,10805,10768,10805,24,10832.0,10455.0,1.0,-0.0
2017-11-06,10794,10771,10790,3,10832.0,10506.0,1.0,-0.0
2017-11-07,10784,10769,10783,12,10832.0,10506.0,1.0,-0.0
2017-11-08,10831,10802,10813,-10,10832.0,10626.0,1.0,0.0
2017-11-09,10810,10797,10809,4,10832.0,10684.0,1.0,0.0
2017-11-10,10736,10675,10689,-33,10832.0,10675.0,1.0,-0.0
2017-11-13,10727,10704,10716,-12,10832.0,10675.0,1.0,0.0
2017-11-14,10694,10663,10694,3,10832.0,10663.0,1.0,0.0
2017-11-15,10685,10651,10659,-25,10832.0,10651.0,1.0,-0.0
2017-11-16,10602,10550,10566,-36,10832.0,10550.0,0.0,-0.0
2017-11-17,10676,10620,10668,51,10832.0,10550.0,0.0,-0.0
2017-11-20,10728,10708,10712,9,10832.0,10550.0,0.0,-0.0
2017-11-21,10696,10660,10692,26,10832.0,10550.0,0.0,-0.0
2017-11-22,10834,10780,10828,43,10834.0,10550.0,0.0,-0.0
2017-11-23,10850,10814,10829,3,10850.0,10550.0,0.0,-0.0
2017-11-24,10853,10825,10846,-8,10853.0,10550.0,0.0,-0.0
2017-11-27,10870,10846,10865,11,10870.0,10550.0,0.0,-0.0
2017-11-28,10765,10727,10731,-18,10870.0,10550.0,1.0,0.0
2017-11-29,10752,10709,10752,44,10870.0,10550.0,1.0,0.0
2017-11-30,10743,10636,10651,-77,10870.0,10550.0,1.0,-0.0
2017-12-01,10619,10558,10612,36,10870.0,10550.0,1.0,-0.0
2017-12-04,10614,10532,10571,-32,10870.0,10532.0,1.0,0.0
2017-12-05,10653,10608,10608,-41,10870.0,10532.0,1.0,-0.0
2017-12-06,10594,10550,10551,-20,10870.0,10532.0,1.0,0.0
2017-12-07,10390,10321,10360,-24,10870.0,10321.0,1.0,-0.0
2017-12-08,10389,10332,10388,23,10870.0,10321.0,0.0,-0.0
2017-12-11,10416,10383,10409,13,10870.0,10321.0,0.0,-0.0
2017-12-12,10497,10472,10496,18,10870.0,10321.0,0.0,-0.0
2017-12-13,10437,10414,10434,3,10870.0,10321.0,0.0,-0.0
2017-12-14,10505,10454,10490,40,10870.0,10321.0,0.0,-0.0
2017-12-15,10543,10514,10514,-13,10870.0,10321.0,0.0,-0.0
2017-12-18,10521,10457,10509,24,10870.0,10321.0,0.0,-0.0
2017-12-19,10531,10496,10531,30,10870.0,10321.0,0.0,-0.0
2017-12-20,10470,10430,10445,-12,10870.0,10321.0,0.0,-0.0
2017-12-21,10524,10492,10508,0,10870.0,10321.0,0.0,-0.0
2017-12-22,10508,10484,10500,5,10870.0,10321.0,0.0,-0.0
2017-12-25,10537,10517,10537,4,10765.0,10321.0,0.0,-0.0
2017-12-26,10533,10524,10532,7,10752.0,10321.0,0.0,-0.0
2017-12-27,10419,10388,10402,-15,10743.0,10321.0,0.0,-0.0
2017-12-28,10495,10475,10488,14,10653.0,10321.0,0.0,-0.0
2017-12-29,10586,10564,10581,20,10653.0,10321.0,0.0,-0.0
